file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\stackforge\python-senlinclient\senlinclient\tests\functional\policies\deletion_policy.yaml,stackforge_python-senlinclient,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\python-senlinclient\senlinclient\tests\functional\profiles\cirros_basic.yaml,stackforge_python-senlinclient,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\python-senlinclient\senlinclient\tests\test_specs\deletion_policy.yaml,stackforge_python-senlinclient,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\python-senlinclient\senlinclient\tests\test_specs\nova_server.yaml,stackforge_python-senlinclient,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\python-senlinclient\senlinclient\tests\__init__.py,stackforge_python-senlinclient,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\python-senlinclient\senlinclient\tests\functional\base.py,stackforge_python-senlinclient,0.0,0.0,0.0,3.0,1.0
C:\mined_repos\stackforge\python-senlinclient\senlinclient\tests\functional\test_actions.py,stackforge_python-senlinclient,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\python-senlinclient\senlinclient\tests\functional\test_clusters.py,stackforge_python-senlinclient,0.0,0.0,10.0,0.0,1.0
C:\mined_repos\stackforge\python-senlinclient\senlinclient\tests\functional\test_cluster_policy.py,stackforge_python-senlinclient,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\stackforge\python-senlinclient\senlinclient\tests\functional\test_events.py,stackforge_python-senlinclient,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\python-senlinclient\senlinclient\tests\functional\test_help.py,stackforge_python-senlinclient,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\python-senlinclient\senlinclient\tests\functional\test_nodes.py,stackforge_python-senlinclient,0.0,0.0,4.0,0.0,1.0
C:\mined_repos\stackforge\python-senlinclient\senlinclient\tests\functional\test_policies.py,stackforge_python-senlinclient,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\stackforge\python-senlinclient\senlinclient\tests\functional\test_policy_types.py,stackforge_python-senlinclient,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\python-senlinclient\senlinclient\tests\functional\test_profiles.py,stackforge_python-senlinclient,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\stackforge\python-senlinclient\senlinclient\tests\functional\test_profile_types.py,stackforge_python-senlinclient,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\python-senlinclient\senlinclient\tests\functional\test_readonly_senlin.py,stackforge_python-senlinclient,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\python-senlinclient\senlinclient\tests\functional\test_receivers.py,stackforge_python-senlinclient,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\stackforge\python-senlinclient\senlinclient\tests\functional\test_version.py,stackforge_python-senlinclient,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\python-senlinclient\senlinclient\tests\functional\__init__.py,stackforge_python-senlinclient,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\python-senlinclient\senlinclient\tests\unit\fakes.py,stackforge_python-senlinclient,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\python-senlinclient\senlinclient\tests\unit\test_format_utils.py,stackforge_python-senlinclient,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\python-senlinclient\senlinclient\tests\unit\test_plugin.py,stackforge_python-senlinclient,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\stackforge\python-senlinclient\senlinclient\tests\unit\test_utils.py,stackforge_python-senlinclient,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\stackforge\python-senlinclient\senlinclient\tests\unit\__init__.py,stackforge_python-senlinclient,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\python-senlinclient\senlinclient\tests\unit\v1\fakes.py,stackforge_python-senlinclient,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\stackforge\python-senlinclient\senlinclient\tests\unit\v1\test_action.py,stackforge_python-senlinclient,0.0,0.0,6.0,0.0,1.0
C:\mined_repos\stackforge\python-senlinclient\senlinclient\tests\unit\v1\test_build_info.py,stackforge_python-senlinclient,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\python-senlinclient\senlinclient\tests\unit\v1\test_client.py,stackforge_python-senlinclient,0.0,0.0,53.0,0.0,1.0
C:\mined_repos\stackforge\python-senlinclient\senlinclient\tests\unit\v1\test_cluster.py,stackforge_python-senlinclient,0.0,0.0,16.0,0.0,1.0
C:\mined_repos\stackforge\python-senlinclient\senlinclient\tests\unit\v1\test_cluster_policy.py,stackforge_python-senlinclient,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\stackforge\python-senlinclient\senlinclient\tests\unit\v1\test_event.py,stackforge_python-senlinclient,0.0,0.0,6.0,0.0,1.0
C:\mined_repos\stackforge\python-senlinclient\senlinclient\tests\unit\v1\test_node.py,stackforge_python-senlinclient,0.0,0.0,8.0,0.0,1.0
C:\mined_repos\stackforge\python-senlinclient\senlinclient\tests\unit\v1\test_policy.py,stackforge_python-senlinclient,0.0,0.0,11.0,0.0,1.0
C:\mined_repos\stackforge\python-senlinclient\senlinclient\tests\unit\v1\test_policy_type.py,stackforge_python-senlinclient,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\stackforge\python-senlinclient\senlinclient\tests\unit\v1\test_profile.py,stackforge_python-senlinclient,0.0,0.0,10.0,0.0,1.0
