file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\stackforge\watcher\watcher\tests\base.py,stackforge_watcher,0.0,0.0,0.0,3.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\config.py,stackforge_watcher,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\conf_fixture.py,stackforge_watcher,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\fakes.py,stackforge_watcher,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\fake_policy.py,stackforge_watcher,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\policy_fixture.py,stackforge_watcher,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\test_threading.py,stackforge_watcher,0.0,0.0,3.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\__init__.py,stackforge_watcher,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\api\base.py,stackforge_watcher,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\api\test_base.py,stackforge_watcher,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\api\test_config.py,stackforge_watcher,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\api\test_hooks.py,stackforge_watcher,0.0,0.0,0.0,1.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\api\test_root.py,stackforge_watcher,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\api\test_scheduling.py,stackforge_watcher,0.0,0.0,6.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\api\test_utils.py,stackforge_watcher,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\api\utils.py,stackforge_watcher,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\api\__init__.py,stackforge_watcher,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\api\v1\test_actions.py,stackforge_watcher,0.0,0.0,12.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\api\v1\test_actions_plans.py,stackforge_watcher,0.0,0.0,26.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\api\v1\test_audits.py,stackforge_watcher,0.0,0.0,44.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\api\v1\test_audit_templates.py,stackforge_watcher,0.0,0.0,34.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\api\v1\test_data_model.py,stackforge_watcher,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\api\v1\test_goals.py,stackforge_watcher,0.0,0.0,5.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\api\v1\test_microversions.py,stackforge_watcher,0.0,0.0,6.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\api\v1\test_root.py,stackforge_watcher,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\api\v1\test_scoring_engines.py,stackforge_watcher,0.0,0.0,4.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\api\v1\test_services.py,stackforge_watcher,0.0,0.0,5.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\api\v1\test_strategies.py,stackforge_watcher,0.0,0.0,5.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\api\v1\test_types.py,stackforge_watcher,0.0,0.0,18.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\api\v1\test_utils.py,stackforge_watcher,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\api\v1\test_webhooks.py,stackforge_watcher,0.0,0.0,4.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\api\v1\__init__.py,stackforge_watcher,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\applier\test_applier_manager.py,stackforge_watcher,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\applier\test_rpcapi.py,stackforge_watcher,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\applier\test_sync.py,stackforge_watcher,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\applier\__init__.py,stackforge_watcher,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\applier\actions\test_change_node_power_state.py,stackforge_watcher,0.0,0.0,2.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\applier\actions\test_change_nova_service_state.py,stackforge_watcher,0.0,0.0,4.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\applier\actions\test_migration.py,stackforge_watcher,0.0,0.0,4.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\applier\actions\test_resize.py,stackforge_watcher,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\applier\actions\test_sleep.py,stackforge_watcher,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\applier\actions\test_volume_migration.py,stackforge_watcher,0.0,0.0,4.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\applier\actions\__init__.py,stackforge_watcher,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\applier\actions\loading\test_default_actions_loader.py,stackforge_watcher,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\applier\actions\loading\__init__.py,stackforge_watcher,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\applier\action_plan\test_default_action_handler.py,stackforge_watcher,0.0,0.0,3.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\applier\action_plan\__init__.py,stackforge_watcher,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\applier\messaging\test_trigger_action_plan_endpoint.py,stackforge_watcher,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\applier\messaging\__init__.py,stackforge_watcher,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\applier\workflow_engine\test_default_workflow_engine.py,stackforge_watcher,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\applier\workflow_engine\test_taskflow_action_container.py,stackforge_watcher,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\stackforge\watcher\watcher\tests\applier\workflow_engine\__init__.py,stackforge_watcher,0.0,0.0,0.0,0.0,1.0
