file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\theonion\ansible-roles\tests\playbooks\betty-cropper.yml,theonion_ansible-roles,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\theonion\ansible-roles\tests\playbooks\carbon.yml,theonion_ansible-roles,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\theonion\ansible-roles\tests\playbooks\cassandra.yml,theonion_ansible-roles,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\theonion\ansible-roles\tests\playbooks\collectd.yml,theonion_ansible-roles,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\theonion\ansible-roles\tests\playbooks\elasticsearch.yml,theonion_ansible-roles,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\theonion\ansible-roles\tests\playbooks\logstash.yml,theonion_ansible-roles,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\theonion\ansible-roles\tests\playbooks\memcached.yml,theonion_ansible-roles,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\theonion\ansible-roles\tests\playbooks\nginx.yml,theonion_ansible-roles,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\theonion\ansible-roles\tests\playbooks\nodejs.yml,theonion_ansible-roles,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\theonion\ansible-roles\tests\playbooks\pgbouncer.yml,theonion_ansible-roles,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\theonion\ansible-roles\tests\playbooks\postgresql.yml,theonion_ansible-roles,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\theonion\ansible-roles\tests\playbooks\uwsgi-apt-install.yml,theonion_ansible-roles,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\theonion\ansible-roles\tests\playbooks\uwsgi-pip-install.yml,theonion_ansible-roles,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\theonion\ansible-roles\tests\playbooks\uwsgi-python-3.yml,theonion_ansible-roles,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\theonion\ansible-roles\tests\playbooks\uwsgi-python-app.yml,theonion_ansible-roles,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\theonion\ansible-roles\tests\playbooks\uwsgi-source-install.yml,theonion_ansible-roles,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\theonion\ansible-roles\tests\data\testapp.py,theonion_ansible-roles,0.0,0.0,0.0,0.0,1.0
