file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\vrk-kpa\api-catalog\ansible\roles\mailhog\molecule\default\tests\test_default.py,vrk-kpa_api-catalog,0.0,0.0,1.0,0.0,1.0
C:\mined_repos\vrk-kpa\api-catalog\ckanext\ckanext-apicatalog_routes\ckanext\apicatalog_routes\tests\test_plugin.py,vrk-kpa_api-catalog,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\vrk-kpa\api-catalog\ckanext\ckanext-apicatalog_routes\ckanext\apicatalog_routes\tests\__init__.py,vrk-kpa_api-catalog,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\vrk-kpa\api-catalog\ckanext\ckanext-apicatalog_scheming\ckanext\apicatalog_scheming\tests\test_plugin.py,vrk-kpa_api-catalog,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\vrk-kpa\api-catalog\ckanext\ckanext-apicatalog_scheming\ckanext\apicatalog_scheming\tests\__init__.py,vrk-kpa_api-catalog,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\vrk-kpa\api-catalog\ckanext\ckanext-apicatalog_ui\ckanext\apicatalog_ui\tests\test_plugin.py,vrk-kpa_api-catalog,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\vrk-kpa\api-catalog\ckanext\ckanext-apicatalog_ui\ckanext\apicatalog_ui\tests\__init__.py,vrk-kpa_api-catalog,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\vrk-kpa\api-catalog\ckanext\ckanext-apply_permissions_for_service\ckanext\apply_permissions_for_service\tests\test_plugin.py,vrk-kpa_api-catalog,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\vrk-kpa\api-catalog\ckanext\ckanext-apply_permissions_for_service\ckanext\apply_permissions_for_service\tests\__init__.py,vrk-kpa_api-catalog,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\vrk-kpa\api-catalog\ckanext\ckanext-fluentall\ckanext\fluentall\tests\test_plugin.py,vrk-kpa_api-catalog,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\vrk-kpa\api-catalog\ckanext\ckanext-fluentall\ckanext\fluentall\tests\__init__.py,vrk-kpa_api-catalog,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\vrk-kpa\api-catalog\ckanext\ckanext-paha\ckanext\paha\tests\test_plugin.py,vrk-kpa_api-catalog,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\vrk-kpa\api-catalog\ckanext\ckanext-paha\ckanext\paha\tests\__init__.py,vrk-kpa_api-catalog,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\vrk-kpa\api-catalog\ckanext\ckanext-saha\ckanext\saha\tests\test_plugin.py,vrk-kpa_api-catalog,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\vrk-kpa\api-catalog\ckanext\ckanext-saha\ckanext\saha\tests\__init__.py,vrk-kpa_api-catalog,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\vrk-kpa\api-catalog\ckanext\ckanext-validate_links\ckanext\validate_links\tests\test_plugin.py,vrk-kpa_api-catalog,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\vrk-kpa\api-catalog\ckanext\ckanext-validate_links\ckanext\validate_links\tests\__init__.py,vrk-kpa_api-catalog,0.0,0.0,0.0,0.0,1.0
