file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\franklinkim.nginx\tests\main.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\geerlingguy.nginx\tests\test.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\geerlingguy.repo-epel\tests\test.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\wtsi-hgi.ansible-anaconda\tests\test.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\wtsi-hgi.ansible-anaconda\subrepos\udst.ansible-conda\tests\integration\requirements.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\wtsi-hgi.ansible-anaconda\subrepos\udst.ansible-conda\tests\integration\site.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\wtsi-hgi.ansible-anaconda\subrepos\udst.ansible-conda\tests\integration\defaults\main.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\wtsi-hgi.ansible-anaconda\subrepos\udst.ansible-conda\tests\integration\meta\main.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\wtsi-hgi.ansible-anaconda\subrepos\udst.ansible-conda\tests\integration\tasks\install.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\wtsi-hgi.ansible-anaconda\subrepos\udst.ansible-conda\tests\integration\tasks\main.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\wtsi-hgi.ansible-anaconda\subrepos\udst.ansible-conda\tests\integration\tasks\set-install-facts.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\wtsi-hgi.ansible-anaconda\subrepos\udst.ansible-conda\tests\integration\tasks\tear-down.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\wtsi-hgi.ansible-anaconda\subrepos\udst.ansible-conda\tests\integration\tasks\test-downgrade.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\wtsi-hgi.ansible-anaconda\subrepos\udst.ansible-conda\tests\integration\tasks\test-failures.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\wtsi-hgi.ansible-anaconda\subrepos\udst.ansible-conda\tests\integration\tasks\test-install-fixed-version.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\wtsi-hgi.ansible-anaconda\subrepos\udst.ansible-conda\tests\integration\tasks\test-install-latest.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\wtsi-hgi.ansible-anaconda\subrepos\udst.ansible-conda\tests\integration\tasks\test-install-loosely-fixed-version.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\wtsi-hgi.ansible-anaconda\subrepos\udst.ansible-conda\tests\integration\tasks\test-invalid-setups.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\wtsi-hgi.ansible-anaconda\subrepos\udst.ansible-conda\tests\integration\tasks\test-uninstall.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\wtsi-hgi.ansible-anaconda\subrepos\udst.ansible-conda\tests\integration\tasks\test-upgrade.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\wtsi-hgi.ansible-anaconda\subrepos\udst.ansible-conda\tests\integration\vars\main.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\wtsi-hgi.ansible-aptly-modules\tests\test.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\wtsi-hgi.ansible-aptly-modules\tests\docker\docker-compose.test.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\wtsi-hgi.ansible-aptly-modules\tests\roles\test-aptly-repo\tasks\main.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\wtsi-hgi.ansible-aptly-modules\tests\roles\test-aptly-repo\tasks\test-create.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\wtsi-hgi.ansible-aptly-modules\tests\roles\test-aptly-repo\tasks\test-delete.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\wtsi-hgi.ansible-aptly-modules\tests\roles\test-aptly-repo\tasks\test-edit.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\wtsi-hgi.ansible-conda\tests\integration\requirements.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\wtsi-hgi.ansible-conda\tests\integration\site.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\wtsi-hgi.ansible-conda\tests\integration\defaults\main.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\wtsi-hgi.ansible-conda\tests\integration\meta\main.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\wtsi-hgi.ansible-conda\tests\integration\tasks\install.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\wtsi-hgi.ansible-conda\tests\integration\tasks\main.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\wtsi-hgi.ansible-conda\tests\integration\tasks\set-install-facts.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\wtsi-hgi.ansible-conda\tests\integration\tasks\tear-down.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\wtsi-hgi.ansible-conda\tests\integration\tasks\test-downgrade.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\wtsi-hgi.ansible-conda\tests\integration\tasks\test-failures.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\wtsi-hgi.ansible-conda\tests\integration\tasks\test-install-fixed-version.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\wtsi-hgi.ansible-conda\tests\integration\tasks\test-install-latest.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\wtsi-hgi.ansible-conda\tests\integration\tasks\test-install-loosely-fixed-version.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\wtsi-hgi.ansible-conda\tests\integration\tasks\test-invalid-setups.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\wtsi-hgi.ansible-conda\tests\integration\tasks\test-uninstall.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\wtsi-hgi.ansible-conda\tests\integration\tasks\test-upgrade.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\wtsi-hgi.ansible-conda\tests\integration\vars\main.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\wtsi-hgi\hgi-ansible\subrepos\wtsi-hgi.ansible-logrotate\tests\test.yml,wtsi-hgi_hgi-ansible,0.0,0.0,0.0,0.0,1.0
