file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\yanyao\openstack-deployment\tests\bootstrap-aio.yml,yanyao_openstack-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\yanyao\openstack-deployment\tests\roles\bootstrap-host\defaults\main.yml,yanyao_openstack-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\yanyao\openstack-deployment\tests\roles\bootstrap-host\tasks\check-requirements.yml,yanyao_openstack-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\yanyao\openstack-deployment\tests\roles\bootstrap-host\tasks\install-apt.yml,yanyao_openstack-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\yanyao\openstack-deployment\tests\roles\bootstrap-host\tasks\main.yml,yanyao_openstack-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\yanyao\openstack-deployment\tests\roles\bootstrap-host\tasks\prepare_aio_config.yml,yanyao_openstack-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\yanyao\openstack-deployment\tests\roles\bootstrap-host\tasks\prepare_data_disk.yml,yanyao_openstack-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\yanyao\openstack-deployment\tests\roles\bootstrap-host\tasks\prepare_libvirt_service.yml,yanyao_openstack-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\yanyao\openstack-deployment\tests\roles\bootstrap-host\tasks\prepare_loopback_cinder.yml,yanyao_openstack-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\yanyao\openstack-deployment\tests\roles\bootstrap-host\tasks\prepare_loopback_nova.yml,yanyao_openstack-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\yanyao\openstack-deployment\tests\roles\bootstrap-host\tasks\prepare_loopback_swap.yml,yanyao_openstack-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\yanyao\openstack-deployment\tests\roles\bootstrap-host\tasks\prepare_loopback_swift.yml,yanyao_openstack-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\yanyao\openstack-deployment\tests\roles\bootstrap-host\tasks\prepare_mongodb_service.yml,yanyao_openstack-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\yanyao\openstack-deployment\tests\roles\bootstrap-host\tasks\prepare_mongodb_users.yml,yanyao_openstack-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\yanyao\openstack-deployment\tests\roles\bootstrap-host\tasks\prepare_networking.yml,yanyao_openstack-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\yanyao\openstack-deployment\tests\roles\bootstrap-host\tasks\prepare_ssh_keys.yml,yanyao_openstack-deployment,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\yanyao\openstack-deployment\tests\roles\bootstrap-host\vars\ubuntu.yml,yanyao_openstack-deployment,0.0,0.0,0.0,0.0,1.0
